jcat,piece,type,inclination,reentry_date,dry_mass
S31396,2007-018B,R3          ,25.35,2009-08-16T00:00:00Z,   2800 
S31575,2007-020E,R3          ,51.91,2007-06-03T00:00:00Z,   2410 
S31578,2007-021B,R3          ,25.35,2008-05-01T00:00:00Z,   2800 
S31596,2007-022B,R3          ,67.13,2007-06-13T00:00:00Z,   2350 
S31599,2007-023B,R2          ,98.39,2007-08-16T00:00:00Z,    919 
S31602,2007-025B,R3          ,141.76,2008-07-10T00:00:00Z,    100 
S31790,2007-028B,R3          ,64.52,2015-06-02T08:30:00Z,   1000 
S31798,2007-030B,R2          ,98.18,2014-09-23T00:00:00Z,   1434 
S31801,2007-031B,R3          ,24.25,2007-07-09T00:00:00Z,   2800 
S31864,2007-032C,R4          ,21.32,2022-06-05T00:00:00Z,   1600 
S32000,2005-009B,R2          ,16.36,2014-07-01T00:00:00Z,   2020 
S32002,2007-033B,R3          ,51.63,2007-08-06T00:00:00Z,   2350 
S32007,2007-034C,R2          ,25.89,2010-06-06T00:00:00Z,    924 
S32020,2007-036C,C  A        ,1.9,2017-01-07T13:00:00Z,    440 
S32051,2007-037B,R3          ,15.84,2011-02-08T00:00:00Z,   2450 
S32059,2007-040B,R3          ,62.94,2007-10-14T00:00:00Z,   2350 
S32061,2007-041B,R2          ,112.32,2007-10-28T00:00:00Z,    924 
S32251,2007-043C,R2          ,26.68,2009-09-18T00:00:00Z,    924 
S32257,2007-045B,R3          ,51.61,2007-10-14T00:00:00Z,   2350 
S32259,2007-046B,R2          ,20.11,2008-03-21T00:00:00Z,   2020 
S32261,2007-047B,R3          ,39.93,2020-12-15T00:00:00Z,    132 
S32262,2007-047C,R2          ,32.63,2008-04-30T00:00:00Z,    924 
S32267,2007-048E,R3          ,51.89,2007-10-24T00:00:00Z,   2410 
S32269,2007-049B,R3          ,62.85,2007-12-06T00:00:00Z,   2350 
S32270,2007-049C,C  M        ,62.81,2008-02-25T00:00:00Z,    328 
S32271,2007-049D,R4          ,62.84,2022-12-26T12:59:00Z,    900 
S32274,2007-051B,R3          ,30.78,2008-01-28T00:00:00Z,   2800 
S32279,2007-052E,R3          ,64.8,2007-10-26T10:45:00Z,   4185 
S32284,2007-053B,R2          ,98.15,2014-04-16T18:37:00Z,   1434 
S32290,2007-055B,R3          ,97.85,2023-11-27T23:00:00Z,   1000 
S32296,2007-056D,C  A        ,5.86,2013-09-20T00:00:00Z,    440 
S32300,2007-057B,C  M        ,49.08,2012-03-04T00:00:00Z,   1000 
S32377,2007-059B,R2          ,98.46,2008-02-13T00:00:00Z,    919 
S32383,2007-061B,R3          ,95.43,2007-12-16T07:00:00Z,   2410 
S32385,2007-062B,R3          ,40.03,2010-08-24T00:00:00Z,    132 
S32386,2007-062C,R2          ,33.38,2008-04-08T00:00:00Z,    924 
S32392,2007-064B,R3          ,51.64,2007-12-26T00:00:00Z,   2350 
S32397,2007-065E,R3          ,64.8,2007-12-27T00:00:00Z,   3500 
S32400,2007-065H,C  A        ,64.8,2007-12-25T00:00:00Z,    800 
S32477,2008-002B,R4          ,41.05,2020-01-23T08:05:00Z,    920 
